dmu,country,year,efficiencies,CO2,material_footprint,foreign_investment,life_expectancy,income,mean_years_in_school,murder,income_share_20,target_input.CO2,target_input.material_footprint,target_input.foreign_investment,target_output.life_expectancy,target_output.income,target_output.mean_years_in_school,target_output.murder,continent
Georgia_2014,Georgia,2014,0.94065,2.18,8.21,439.6,73.2,12.3,12.6,99.99808,6.4,2.0506205999877487,7.722750057770632,413.51046594141974,79.75863738987658,12.30000000011399,12.600000000023,109.8054079572278,Asia
Georgia_2015,Georgia,2015,0.9384,2.38,8.47,438.4,73.3,12.6,12.7,99.9983,6.7,2.233381877688617,7.948211976481414,411.3926954533001,81.5231371309026,13.146032427279401,12.7,111.77163886470339,Asia
Germany_1991,Germany,1991,0.82318,12.8,19.5,449.746,75.8,38.3,8.9,99.99889,8.8,4.847621183199478,16.052009900116133,370.2219099759187,77.02105715342775,38.299999999993005,10.452438478365277,99.99888999991748,Europe
Germany_1992,Germany,1992,0.79974,12.1,20.9,450.1,76.2,38.7,9.1,99.99888,8.9,4.958975170277533,16.714605368869506,359.9638218430913,77.24437933156332,38.69999999999318,10.430481497422491,99.99887999991938,Europe
Germany_1993,Germany,1993,0.81504,11.9,19.8,449.9768,76.3,38.1,9.3,99.99885,9,4.850299153959794,16.13780140354058,366.7493047778181,77.02492790093801,38.09999999999952,10.448660750224166,99.99884999999773,Europe
Germany_1994,Germany,1994,0.81158,11.6,20.4,449.659,76.6,38.9,9.5,99.99885,8.5,4.946137511282709,16.556202533266354,364.9336017110869,77.22034204727606,38.89999999999915,10.436819677762395,99.99884999999614,Europe
Germany_1995,Germany,1995,0.82638,11.6,19.9,449.534,76.9,39.4,9.7,99.99886,8.6,4.953885438577647,16.444957964712035,371.4858157638696,77.23920635084752,39.399999999992545,10.442603091965038,99.998859999912,Europe
Germany_1996,Germany,1996,0.84266,11.8,19.2,449.376,77.1,39.6,9.8,99.99892,8.9,4.926014706758917,16.17910240701324,378.6718918363169,77.18545906698435,39.60000000000324,10.452751376593426,99.99892000003825,Europe
Germany_1997,Germany,1997,0.86494,11.5,18.5,449.157,77.5,40.2,10,99.999114,8.9,4.907734275956827,16.001410893250387,388.4943628422968,77.50000000002336,40.2000000000029,10.528537133078245,99.99911400003404,Europe
Germany_1998,Germany,1998,0.84847,11.4,19.7,448.68,77.8,41,10.2,99.999154,8.9,5.043424598755637,16.714784180733222,380.68981554386926,77.80000000002198,41.000000000002714,10.512908279240676,99.99915400003206,Europe
Germany_1999,Germany,1999,0.84714,11,20.3,446.08,78.1,41.8,10.3,99.999143,8.7,5.142445454109136,17.196901172860457,377.8913140490377,78.10000000004425,41.80000000000547,10.521304662002176,99.99914300006448,Europe
Germany_2000,Germany,2000,0.87686,11.1,20.2,437.3,78.4,42.9,11.2,99.999288,8.8,6.311610965124581,17.71259733371523,383.4514264375713,78.70902287278794,42.9,11.2,99.99928800002711,Europe
Germany_2001,Germany,2001,0.90591,11.3,19.1,447.07,78.7,43.6,11.7,99.999334,8.6,6.729565391670802,17.302893488596837,405.00547601824354,79.37561752928198,43.59999999999998,11.700000000000003,99.99933399999999,Europe
Germany_2002,Germany,2002,0.92286,11.1,18.9,447.53,78.8,43.4,12.1,99.999289,8.6,7.138507282810218,17.44202477231662,413.00684372254875,79.34917733944962,43.39999999999999,12.100000000000001,99.999289,Europe
Germany_2003,Germany,2003,0.914,11.1,19.9,447.39,78.9,43.1,12.5,99.999358,8.5,7.650797036974018,18.188587187753882,408.9141719563255,79.42166991637411,43.10000000000001,12.500000000000002,99.9993580000374,Europe
Germany_2004,Germany,2004,0.91098,10.9,20.8,450.725,79.3,43.6,12.9,99.999379,8.5,8.217324032999313,18.948371107699405,410.6011811307463,79.59667653721803,43.599999999999994,12.9,99.99937900003671,Europe
Germany_2005,Germany,2005,0.93332,10.6,20.7,447.9,79.6,43.9,13.3,99.999457,8.2,8.700643581898879,19.31971357291235,418.0338023820769,79.67547577429323,43.9,13.3,99.999457,Europe
Germany_2006,Germany,2006,0.95552,10.8,21,447.08,79.9,45.7,13.6,99.99945,8.3,9.141923175924132,20.0659315731367,427.1941279866549,80.72983742281956,45.7,13.600000000000001,100.99540286331016,Europe
Germany_2007,Germany,2007,0.95318,10.5,21.8,448.52,80,47.1,13.7,99.999441,8.3,9.444277993006194,20.77925112354903,427.51879421726284,81.13836903597503,47.1,13.700000000000001,101.14813565108551,Europe
Germany_2008,Germany,2008,0.95248,10.5,22,449.173,80.2,47.6,13.7,99.999505,8.4,9.55246260056529,20.954528172453987,427.82764921853436,80.94185105069641,47.60000000000001,13.700000000000001,100.74100957022775,Europe
Germany_2009,Germany,2009,0.95037,9.76,21.3,448.34,80.3,45,13.8,99.999486,8.3,8.988761108753584,20.242944767330595,426.090228027556,82.89509644395953,45,13.800000000000002,104.11821971487934,Europe
